"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C17","0402","88.011mm","84.582mm","88.011mm","84.582mm","88.011mm","84.082mm","T","90.00","Capacitor"
"C16","0402","117.44mm","74.661mm","117.44mm","74.661mm","117.94mm","74.661mm","B","180.00","Capacitor"
"C15","0402","113.376mm","76.82mm","113.376mm","76.82mm","113.376mm","77.32mm","B","270.00","Capacitor"
"C14","0402","114.519mm","76.82mm","114.519mm","76.82mm","114.519mm","77.32mm","B","270.00","Capacitor"
"C13","0402","120.65mm","65.913mm","120.65mm","65.913mm","120.65mm","66.413mm","B","270.00","Capacitor"
"C12","0402","122.809mm","65.913mm","122.809mm","65.913mm","122.809mm","66.413mm","B","270.00","Capacitor"
"C11","0402","99.06mm","97.663mm","99.06mm","97.663mm","99.06mm","97.163mm","T","90.00","Capacitor"
"C10","0402","98.806mm","88.519mm","98.806mm","88.519mm","98.806mm","89.019mm","T","270.00","Capacitor"
"C9","0402","89.662mm","97.409mm","89.662mm","97.409mm","90.162mm","97.409mm","T","180.00","Capacitor"
"C8","0402","89.535mm","89.916mm","89.535mm","89.916mm","90.035mm","89.916mm","T","180.00","Capacitor"
"C7","0402","92.964mm","78.994mm","92.964mm","78.994mm","92.964mm","79.494mm","T","270.00","Capacitor"
"C6","0402","95.631mm","87.884mm","95.631mm","87.884mm","95.631mm","88.384mm","B","270.00","Capacitor"
"C5","0402","92.964mm","87.249mm","92.964mm","87.249mm","92.964mm","87.749mm","B","270.00","Capacitor"
"C4","0402","100.076mm","97.663mm","100.076mm","97.663mm","100.076mm","97.163mm","T","90.00","Capacitor"
"C3","0402","96.647mm","88.265mm","96.647mm","88.265mm","96.647mm","88.765mm","T","270.00","Capacitor"
"C2","0402","106.807mm","68.58mm","106.807mm","68.58mm","106.807mm","69.08mm","B","270.00","Capacitor"
"C1","0402","109.22mm","66.802mm","109.22mm","66.802mm","109.72mm","66.802mm","B","180.00","Capacitor"
"BQ2","403C11A32M00000","90.6155mm","86.943mm","90.678mm","86.868mm","89.878mm","87.993mm","T","270.00","Crystal"
"BQ1","FC-12M","99.568mm","91.313mm","99.568mm","91.313mm","99.568mm","90.488mm","T","90.00","Crystal"
"B1","2450BM15A0002","94.4755mm","86.741mm","94.488mm","86.741mm","95.388mm","86.091mm","T","180.00","BALUN"
"A1","F_ant","86.741mm","81.915mm","86.868mm","82.804mm","86.614mm","83.058mm","T","90.00","ANT"

