Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R9         0402                    127mm      70.104mm         127mm      70.104mm         127mm      69.604mm  T         90.00 Resistor       
R10        0402                 80.137mm      81.661mm      80.137mm      81.661mm      80.137mm      82.161mm  T        270.00 Resistor       
R11        0402                 78.867mm      81.661mm      78.867mm      81.661mm      78.867mm      82.161mm  T        270.00 Resistor       
R12        0402                139.954mm      59.436mm     139.954mm      59.436mm     139.954mm      59.936mm  T        270.00 Resistor       
R13        0402                120.523mm      58.674mm     120.523mm      58.674mm     120.523mm      59.174mm  T        270.00 Resistor       
R14        0402                122.936mm      58.674mm     122.936mm      58.674mm     122.936mm      59.174mm  T        270.00 Resistor       
R15        0402                125.476mm      58.801mm     125.476mm      58.801mm     125.476mm      59.301mm  T        270.00 Resistor       
R16        0402                 72.644mm      95.631mm      72.644mm      95.631mm      72.644mm      95.131mm  T         90.00 Resistor       
R17        0402                 92.456mm      92.329mm      92.456mm      92.329mm      92.956mm      92.329mm  T        180.00 Resistor       
R18        0402                 65.532mm      79.502mm      65.532mm      79.502mm      65.032mm      79.502mm  T        360.00 Blob           
R19        0402                 65.532mm      80.899mm      65.532mm      80.899mm      65.032mm      80.899mm  T        360.00 Blob           
R20        0402                107.061mm      80.772mm     107.061mm      80.772mm     107.061mm      81.272mm  T        270.00 Resistor       
R21        0603                111.125mm      82.804mm     111.125mm      82.804mm       111.9mm      82.804mm  T        180.00 Resister       
R22        0603                111.125mm      85.471mm     111.125mm      85.471mm       111.9mm      85.471mm  T        180.00 Resister       
R23        0603                 68.199mm      65.405mm      68.199mm      65.405mm      68.199mm       64.63mm  T         90.00 Resistor       
RT1        0603                 68.199mm      62.484mm      68.199mm      62.484mm      68.199mm      63.259mm  T        270.00 Thermistor     
S1         EVQP2402W             97.74mm      91.592mm       97.79mm      91.567mm      95.165mm      92.317mm  T        360.00 Button         
S2         EVQP2402W           135.178mm      83.668mm     135.128mm      83.693mm     137.753mm      82.943mm  T        180.00 Button         
U1         6SON                102.108mm      70.273mm     102.108mm      70.273mm     101.608mm      69.723mm  T         90.00 TPS62730       
U2         DFN8                 102.87mm      58.293mm      102.87mm      58.293mm      103.62mm      59.793mm  T        270.00 STC3100        
U3         WSON6               111.633mm      72.771mm     111.633mm      72.771mm     112.733mm      72.121mm  T        180.00 TPS61240DRVT   
U4         QFN40                78.613mm      90.043mm      78.613mm      90.043mm      76.363mm      87.018mm  T         90.00 CC2530F256     
U5         8MSOP               124.206mm      69.977mm     124.206mm      69.977mm     125.181mm      72.052mm  T        270.00 AD8217BRMZ-R7  
U7         SO8                  84.836mm      69.469mm      84.836mm      69.469mm      82.386mm      71.374mm  T          0.00 M24M02         

